	14C	22C	38C	46C	6C	10C	26C	2C	34C	42C	13C	21C	29C	37C	45C	5C	17C	1C	25C	33C	41C	9C	15C	23C	39C	47C	7C	11C	19C	27C	35C	3C	43C	16C	24C	40C	48C	8C	12C	20C	28C	36C	44C	4C
ENSG00000001626	17.6663	11.0764	9.86329	13.9141	72.0988	21.8633	274.947	15.6109	28.094	116.26	8.05218	9	22.6098	7.4113	23.6417	14.711	10.8065	34.1248	2.83374	4	12.0557	20.1661	17.1159	14.1174	28.2392	28.1097	3	51.2372	33.8016	10.46383	41.4074	22.7785	20.1425	56.592	21.3001	7.53764	41.4231	24.5361	16.1131	31.5706	13.9484	25.5663	31.2277	18.0373
ENSG00000001629	614.9918	358.0003	479.9915	0	464.99981	101	15.808	275	358.96706	293	454.9998	77.0001	312	485.00015	215.97636	112.99953	688.9998	173.53612	618.9999	262.00007	313.76216	148.99967	97.4056	12.999997	25.56445	201.9998	774	246.623104	4657.997	227	112.66486	2.781182	420.84351	605.59222	19.96849	148.00005	99.00003	383.99974	375.99984	114.00019	86	0	132.00044	221.9996
ENSG00000001630	1120.443	4368.6694	1871.566	1255.99	12798.25701	3623.54	5.37395	1354.338	2872.795	1905.81	2192.2993	21.29046	2161.428251	1657.901484	2471.33	1150.492	428.68	1538.716	1035.672	98.1692	2037.540001426	1719.66149	2.1045	807.33129	2043.23544	1040.3977	64.8465	421.7142	62.8676	818.7345	2420.90544	385.671	2309.655	1181.22456	453.5062	2328.003	2388.8806	1629.335	5119.44799	2075.17689	2443.671	280.015	293.86294	5136.327
ENSG00000001631	117.532538	795.33828	406.8081175	902.23257	1469.39574	1211.84675003328	97.5975	878.5015	1013.075	0	15.1537	22.1704	463.711046	153.300395	354.55485	381.809243	718.64065	349.406401	973.34285	893.8219	345.80437	258.96238	2.02871	188.134278	470.636684	204.6230041127	16.41119	18.0204	0	170.35587	1143.1379	490.08923633	30.433	217.3064	75.64181	662.5189	786.638070035353	1115.48191121	885.23314	151.40001625	621.560290327382	1041.03204232	466.48338	511.424687037304
ENSG00000002016	299.1941051564	335.41781	404.480711	86.20073	509.86554	999.48452	97.3588	275.90419	519.69597	35.8668	166.6802	455.62	69.36801	432.98033	389.43456	153.19999	241.9462	244.7601	104.23056	9.60644	324.22825	362.36044	154.667000287936	25.57476	49.2463	122.39531	312.072	155.785748	400.974	234.986	53.2486	56.6047	197.3385	244.9271	548.965264	422.8264	76.53802	218.9072	116.971755	214.4861404	234.0498	150.8796	33.094874	116.02606
ENSG00000002079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	12	0	11	0	0	0	0	0	0	0	0
ENSG00000002330	948.58204	2591.9238	1367.14365	979.00007	4726.00136	235.0002	5764.9991	1505.9957	1569.99901	3941.9506	2004.99632	852.00007	896.99961	663.76029	1399.94497	740.82479	1203.9131	1006.36758	1510.00209	878.99973	844.5711	799.16104	0	558.99947	846.90032	601.72503	1094.00006	1541.81779	13.000018	903.302	1961.663	514.747	873.7929	2324.8492	1200.93942	1336.84946	2519.07413	1297.4826	645.61237	927.1494	1776.21306	1648.5613	533.8384	942.48963
ENSG00000002549	3478.9937	3330.99859	4820.99844	3618.997	6086.9641	5543.9929	0	5355.99793	6136.0021	3109.9953	1886.002632	4429	3212.0025	4391.99858	4647.99598	3944.9978	3723.9985	2871.99075	5329.98881	6109.0043	5583.986965	4911.9884	0	4904.9949	3005.99344	6402.00116	1724.99590043025	4438.99555	11774.94945	4947.98842	1349.0001276768	8207.99156	5433.102	3648.98305	3915.0079	13464.9188	8880.942206588	11414.9975	11773.9332	9021.93471	10815.92257	10289.9966	3181.97511	15138.79108
ENSG00000002586	11989.00599	10151.99827	6742.99651	6470.996	7573.00042	10128.0011	17859.02728	6468.99843	13911.00717	5541.0026	3736.0042	7716.0027	9997.99613	9012.00563	9947.99835	5994.00376	5676.99907	9508.99358677	9196.99828	8097.9958	6241.99958	5998.01071	12635.99616	7563.9971	8100.0062	4001.0014	14365.99292	2202.00038	15797.95241	3580.9988	11871.002	2983.0041	9428.99367	5703.00036	982.99953	27960.97803	42016.96413	20865.00929	11199.00168	5970.994919	16205.9948622	21190.98095	5829.00851	9221.99283
ENSG00000002587	82.6713	295.2079	26.6592	15.0503	68.6812	243.59993	34.2919	5.54451	23.275	878.800718	20.4715	15.3089	11.1901	13.8196	11.436	10.9185	4.20969	9.33686	3.06169	16.3938	4.31948	10.6844	7.46179	8.4785	7.35392	12.4824	32.8275	40.2429	12.4404	19.5477	59.0009	23.4035	38.049	80.0697000421821	72.3093	132.008380102207	108.4768	64.2008	357.667	78.8629	181.71075	9.21244	78.2135	343.99897
